job_id,title,company,city,posted_date,job_type,source,description
KAGGLE_00064,Scientist (Bioinformatics and Computational Biology),Aganitha AI,Hyderabad,2022-07-16,,kaggle_2022,"Understand and analyze disease studies, especially the ones associated with genomic disorders.,Understand and model biotech processes such as the ones used in…"
KAGGLE_00065,Data Scientist,JMS ADVISORY SERVICES PVT.LTD,Pune,2022-07-21,,kaggle_2022,"Machine learning: 5 years (Preferred).,Explore and investigate the Open Source tools and various data models in cyber security."
KAGGLE_00066,Machine Learning Engineer (Remote),HackerRank,Bangalore,2022-07-01,,kaggle_2022,"Help set the strategy for machine learning at HackerRank, identifying new opportunities for machine learning to improve HackerRank products."
KAGGLE_00067,"Director/VP, Machine Learning",Leena AI India Pvt Ltd,Bangalore,2022-07-22,,kaggle_2022,"Deep technical background in applied machine learning, including deep learning, computer vision, natural language processing, and data engineering."
KAGGLE_00068,Machine learning Engineer,indiagold,Gurgaon,2022-06-26,,kaggle_2022,Machine learning: You will work on building ML models and increase prediction accuracy in our loan origination platform.
KAGGLE_00069,Machine Learning Engineer - Deloitte AI Center of Excellence...,Deloitte,Bangalore,2022-07-09,,kaggle_2022,We are looking for talented Machine Learning Engineers with experience in software engineering and applying machine learning to solve complex problems.
KAGGLE_00070,Data Scientist,C2FO ITPL,Noida,2022-07-22,,kaggle_2022,"Knowledgeable of relevant literature around applications for machine learning and deep learning.,Experience with machine learning tools such as scikit-learn,…"
KAGGLE_00071,Machine Learning Developer,Cybage,Pune,2022-07-07,,kaggle_2022,"Run machine learning tests and experiments.,Develop machine learning applications according to requirements.,Should be able to Study and transform data science…"
KAGGLE_00072,Machine Learning Engineer,Vitrana,Bangalore,2022-07-15,,kaggle_2022,"Run machine learning tests and experiments.,Familiarity with machine learning frameworks (like Keras or TensorFlow) and libraries (like scikit-learn)."
KAGGLE_00073,Data Science,Globussoft Technologies,Bangalore,2022-07-05,,kaggle_2022,"Selecting features, building and optimizing classifiers using machine learning techniques.,Data mining using state-of-the-art methods."
KAGGLE_00074,Machine Learning Engineer/Data Scientist,Innowise,Remote,2022-06-26,,kaggle_2022,"High personal affinity to IT topics, namely data science, machine learning and / or artificial intelligence.,They must have strong experience using a variety of…"
KAGGLE_00075,Data Analyst,Creditas Solutions,Gurgaon,2022-07-07,,kaggle_2022,"Solutions to the top Financial Institutions in India.,Our growing technology firm is looking for an experienced Data Analyst who is able to turn project."
KAGGLE_00076,Data Scientist,MARJ TECHNOLOGIES,Noida,2022-07-21,,kaggle_2022,"Develop and implement artificial intelligence and machine learning models to solve complex data problems.,Drive the development of AI/ML solutions."
KAGGLE_00077,Data Scientist,Danske Bank,Bangalore,2022-07-16,,kaggle_2022,"Experience working with statistical and machine learning models.,Work with other data scientist to do peer review of existing or new machine learning models or…"
KAGGLE_00078,Data science and Machine learning Trainer,Merida Tech Minds,Bangalore,2022-06-26,,kaggle_2022,"We are looking for Experienced datascience and machinelearning trainer with strong knoweledge in Data science domain .,Job Types: Full-time, Part-time."
KAGGLE_00079,Machine Learning Engineer,DeepEdge,Hyderabad,2022-06-26,,kaggle_2022,Machine Learning engineers with 1-3 years of industry experience.
KAGGLE_00080,"Manager, Customer Experience Quality, gCare Operations and P...",Google,Hyderabad,2022-07-20,,kaggle_2022,"Ability to transform design thinking by leveraging machine learning and automation practices.,Drive automation perspective or machine learning as relevant to…"
KAGGLE_00081,Data Scientist,Barclays,Delhi,2022-07-21,,kaggle_2022,"PhD using statistics or machine learning.,Designs and delivers statistical and machine learning models into production, engaging with stakeholders to create…"
KAGGLE_00082,Machine Learning,Think Future Technologies,Gurgaon,2022-06-26,,kaggle_2022,"2+ years’ of relevant professional experience.,Ability to translate complex problems and concepts in training."
KAGGLE_00083,Data Scientist,OneBanc Technologies,Gurgaon,2022-07-17,,kaggle_2022,"Research and develop statistical learning models for data analysis.,Experience creating and using advanced machine learning algorithms and statistics:…"
KAGGLE_00084,Data Engineer,Meridian soft,Bangalore,2022-07-21,,kaggle_2022,"Strong skills in Python, SQL (RDMS).,Strong analytical and problem-solving skills.,Strong in data science python libraries like NumPy, Pandas."
KAGGLE_00085,Machine Learning Intern - (Final Year),cloudsek,Bangalore,2022-06-26,,kaggle_2022,Receiving multiple awards including the prestigious Excellence Award for being the Security Product Company of the Year in 2020.
KAGGLE_00086,Software Quality Senior Engineer,Dell Technologies,Bangalore,,,kaggle_2022,"We conduct a wide range of quality control tests and analyses to ensure that our software meets or exceeds end-user requirements.,Bachelor's or Master's Degree."
KAGGLE_00087,Data Science and Machine Learning Consultant,Quess Corp,Hyderabad,2022-07-23,,kaggle_2022,"_SQL, Python, Machine Learning, Natural Language Processing, Data Visualization, Databases_.,Hyderabad, Rangareddy - 500075, Telangana: Reliably commute or…"
KAGGLE_00088,Software Quality Senior Engineer,Dell Technologies,Bangalore,,,kaggle_2022,"We are helping customers move into the future with multi-cloud, AI and machine learning through the most innovative technology and services portfolio for the…"
KAGGLE_00089,Business Analyst,TGS the global skills,Gurgaon,2022-07-15,,kaggle_2022,"Gather and analyse data and provide technology solutions with a systems approach.,Interpreting business requirements into understandable development tasks to…"
KAGGLE_00090,Data Science and Machine Learning Consultant,Quess Corp,Hyderabad,2022-07-23,,kaggle_2022,"_SQL, Python, Machine Learning, Natural Language Processing, Data Visualization, Databases_.,Salary: ₹380,176.40 - ₹1,506,122.20 per year."
KAGGLE_00091,Intern - Business Analyst,Climate Connect,Remote,2022-07-12,,kaggle_2022,"We believe that machine learning and other software technologies will be key in enabling this vision.,Our multi-layered support system, comprising a global…"
KAGGLE_00092,Manager - Data Analyst,Maruti Suzuki India Ltd,Gurgaon,2022-06-26,,kaggle_2022,"Knowledge of machine learning, deep network.,Story telling with the help of data.,Explore data and generate insights such as patterns, seasonality, trend, cause…"
KAGGLE_00093,R&D Member of Technical Staff II,Aveva,India,2022-07-21,,kaggle_2022,"Understanding of Machine learning life cycle.,Vacancy Name R&D Member of Technical Staff II , Product Test.,AVEVA Employment Type Full Time Permanent."
KAGGLE_00094,Microsoft Azure Machine Learning Application Developer,Accenture,Mumbai,2022-07-20,,kaggle_2022,"Technical Experience : Strong conceptual knowledge and working experience on all features of Azure ML Studio, ML Services and ML Ops Aware of Machine Learning…"
KAGGLE_00095,Machine Learning Engineer II,"Neustar, Inc.",Bangalore,2022-07-19,,kaggle_2022,"At Neustar, you have the power to be your authentic self, to be curious, to run with your idea, and to celebrate a good day.,We invite you to join us."
KAGGLE_00096,Office Administrator,Wood Mackenzie,Delhi,2022-07-26,,kaggle_2022,"Our global team uses AI, machine learning, automation, and other emerging technologies to collect and analyze billions of records."
KAGGLE_00097,Data Analyst,Serendipity corporate services,Hyderabad,2022-07-19,,kaggle_2022,"Hands-on expertise in predictive modeling, machine learning, and other advanced analytical techniques.,Key skills: Marketing Analytics, Risk Analytics, SAS,…"
KAGGLE_00098,Data Annotator,Objectways,Karur,2022-07-05,,kaggle_2022,"Our focus is to human in-loop capabilities to bring machine learning processes closer to human input.,This position is critical to the success of our customers,…"
KAGGLE_00099,Machine Learning Engineer,MedTourEasy,Delhi,2022-06-26,,kaggle_2022,"Run machine learning tests and experiments.,Develop machine learning applications according to requirements.,Machine Learning Engineer responsibilities include…"
KAGGLE_00100,Sr Software Engineer,WELLS FARGO BANK,Bangalore,2022-07-15,,kaggle_2022,"Wells Fargo is seeking a Senior Software Engineer...,In this role, you will:,Lead moderately complex initiatives and deliverables within technical domain…"
KAGGLE_00101,Software Engineer – Python,Crowe,Noida,2022-07-16,,kaggle_2022,"We believe machine learning is software.,Develop libraries and services to address common requirements for our machine learning products."
KAGGLE_00102,Data Engineer,HRhelpdesk,Noida,2022-07-20,,kaggle_2022,"The Client's digital manufacturing platform, uses artificial intelligence, machine learning, and advanced analytics to help address critical challenges in…"
KAGGLE_00103,ML Engineer,EY,Bangalore,2022-07-19,,kaggle_2022,"Should have experience of 2-3 production implementation of machine learning projects.,Processing, search, information retrieval, information extraction,…"
KAGGLE_00104,Data Science & Analytics,Samsung Electronics,Bangalore,2022-06-26,,kaggle_2022,[Data modelling] Explore and design suitable machine learning model or deep learning algorithm or statistical model to solve business challenges.
KAGGLE_00105,Strategy Officer,Bosch Group,Bangalore,2022-07-25,,kaggle_2022,"Portfolio management, evolving go to market strategy execution, business model evolution, business development including strategic alliances, channel partners …"
KAGGLE_00106,Data Scientist,Accubits Technologies,India,2022-06-26,,kaggle_2022,"Good understanding of machine learning algorithms.,Mine and analyze data from various sources to drive optimization and improvement of product development."
